Kernel Name,Batch Size,Dimension,GPU Utilization Rate (%),GPU Core Frequency (MHz),GPU Temperature (C),GPU Power (W),Latency (ms),OPName
,1,1x58x13x141,100.0,270.0,86.0,208.37600000000012,0.01228800043463707,linear
,1,1x102x215x113,100.0,270.0,86.0,208.37600000000012,0.027648000046610832,linear
,1,1x195x50x184,100.0,270.0,86.0,208.37600000000012,0.02109439969062805,linear
,1,1x117x149x297,100.0,270.0,86.0,208.37600000000012,0.026611199602484703,linear
,1,1x88x126x340,100.0,270.0,86.0,208.37600000000012,0.02457600086927414,linear
,1,1x109x162x365,100.0,270.0,86.0,208.37600000000012,0.027852800115942954,linear
,1,1x71x253x606,100.0,270.0,86.0,208.37600000000012,0.030899199098348616,linear
,1,1x137x175x627,7.0,615.0,81.0,169.36200000000005,0.03174399957060814,linear
,1,1x192x83x513,7.0,615.0,81.0,169.36200000000005,0.02661759965121746,linear
,1,1x36x65x1287,7.0,615.0,81.0,169.36200000000005,0.02252800017595291,linear
,1,1x127x116x1156,7.0,615.0,81.0,169.36200000000005,0.028672000393271446,linear
,1,1x122x143x2019,7.0,615.0,81.0,169.36200000000005,0.043007999658584595,linear
,1,1x211x240x2270,7.0,615.0,81.0,169.36200000000005,0.07289600223302842,linear
,1,1x143x237x3072,7.0,615.0,81.0,169.36200000000005,0.06963200122117996,linear
,1,1x206x31x2723,7.0,615.0,81.0,169.36200000000005,0.03276799991726875,linear
,1,1x30x32x6666,7.0,615.0,81.0,169.36200000000005,0.02252800017595291,linear
,1,1x127x21x4768,7.0,615.0,81.0,169.36200000000005,0.030080000683665276,linear
,1,1x38x5x7851,7.0,615.0,77.0,120.46500000000002,0.023552000522613525,linear
,1,1x155x5x13098,7.0,615.0,77.0,120.46500000000002,0.0673792004585266,linear
,1,1x251x129x9025,7.0,615.0,77.0,120.46500000000002,0.14744960367679597,linear
,1,1x58x39x10635,7.0,615.0,77.0,120.46500000000002,0.04095999896526337,linear
,1,1x53x182x29701,7.0,615.0,77.0,120.46500000000002,0.15564799308776855,linear
,1,1x56x196x17653,7.0,615.0,77.0,120.46500000000002,0.10649599879980087,linear
,1,1x143x36x25531,7.0,615.0,77.0,120.46500000000002,0.1490944057703018,linear
,1,1x161x224x40347,7.0,615.0,77.0,120.46500000000002,0.5539839863777161,linear
,1,1x64x154x53038,22.36,615.0,76.2,106.57852000000004,0.2744320034980774,linear
,1,1x156x147x46543,31.0,615.0,75.0,105.37100000000005,0.47452160716056824,linear
,1,1x121x415x116,31.0,615.0,75.0,105.37100000000005,0.028672000393271446,linear
,1,1x205x381x76,31.0,615.0,75.0,105.37100000000005,0.029676800593733788,linear
,1,1x163x483x219,31.0,615.0,75.0,105.37100000000005,0.03788800165057182,linear
,1,1x147x377x396,31.0,615.0,75.0,105.37100000000005,0.039724798500537874,linear
,1,1x170x495x469,31.0,615.0,75.0,105.37100000000005,0.053247999399900436,linear
,1,1x113x506x369,31.0,615.0,75.0,105.37100000000005,0.043782399594783784,linear
,1,1x14x299x951,31.0,615.0,75.0,105.37100000000005,0.028672000393271446,linear
,1,1x143x472x771,10.0,615.0,73.0,104.51500000000001,0.07494400292634965,linear
,1,1x79x379x642,10.0,615.0,73.0,104.51500000000001,0.05281279906630516,linear
,1,1x160x449x1837,10.0,615.0,73.0,104.51500000000001,0.12185599654912949,linear
,1,1x7x472x2028,10.0,615.0,73.0,104.51500000000001,0.055500800162553786,linear
,1,1x166x382x1202,10.0,615.0,73.0,104.51500000000001,0.10711039900779724,linear
,1,1x182x389x3443,10.0,615.0,73.0,104.51500000000001,0.1888256013393402,linear
,1,1x9x304x3254,10.0,615.0,73.0,104.51500000000001,0.05939200147986412,linear
,1,1x157x385x2993,10.0,615.0,73.0,104.51500000000001,0.16343039870262147,linear
,1,1x152x373x7053,10.0,615.0,73.0,104.51500000000001,0.3246079981327057,linear
,1,1x146x497x8018,14.0,345.0,72.0,100.67799999999994,0.44051838517189024,linear
,1,1x78x333x6586,14.0,345.0,72.0,100.67799999999994,0.1812479943037033,linear
,1,1x51x363x11650,14.0,345.0,72.0,100.67799999999994,0.26746240854263303,linear
,1,1x17x375x12913,14.0,345.0,72.0,100.67799999999994,0.1730560064315796,linear
,1,1x37x287x10911,14.0,345.0,72.0,100.67799999999994,0.19841919839382172,linear
,1,1x222x422x24589,14.0,345.0,72.0,100.67799999999994,1.4555007934570312,linear
,1,1x252x303x31786,50.0,333.0,72.0,100.73719999999997,1.4262207984924316,linear
,1,1x233x302x26691,59.0,330.0,72.0,100.75199999999997,1.2058560132980347,linear
,1,1x27x361x50270,59.0,330.0,72.0,100.75199999999997,0.36556801199913025,linear
,1,1x116x315x63010,59.0,330.0,72.0,100.75199999999997,1.022976040840149,linear
,1,1x98x326x37344,59.0,330.0,72.0,100.75199999999997,0.6492159962654114,linear
,1,1x171x899x234,59.0,330.0,72.0,100.75199999999997,0.05632000043988228,linear
,1,1x254x550x65,59.0,330.0,72.0,100.75199999999997,0.039711999148130415,linear
,1,1x174x920x42,27.0,480.0,72.0,108.265,0.03891199827194214,linear
,1,1x52x967x342,27.0,480.0,72.0,108.265,0.04915200173854828,linear
,1,1x93x687x346,27.0,480.0,72.0,108.265,0.050175998359918594,linear
,1,1x148x674x294,27.0,480.0,72.0,108.265,0.05119999870657921,linear
,1,1x196x880x815,27.0,480.0,72.0,108.265,0.1380351960659027,linear
,1,1x129x653x612,27.0,480.0,72.0,108.265,0.07021440118551255,linear
,1,1x68x887x792,27.0,480.0,72.0,108.265,0.06860800087451935,linear
,1,1x47x917x1053,27.0,480.0,72.0,108.265,0.07168000191450119,linear
,1,1x114x577x1975,27.0,480.0,72.0,108.265,0.11366400122642517,linear
,1,1x199x977x1784,11.0,480.0,70.0,106.49499999999995,0.21686400175094606,linear
,1,1x121x884x2455,11.0,480.0,70.0,106.49499999999995,0.15769599378108978,linear
,1,1x171x762x2564,11.0,480.0,70.0,106.49499999999995,0.2129855990409851,linear
,1,1x90x625x2154,11.0,480.0,70.0,106.49499999999995,0.09809920340776443,linear
,1,1x33x1000x7769,11.0,480.0,70.0,106.49499999999995,0.24965119659900664,linear
,1,1x56x1015x7730,11.0,480.0,70.0,106.49499999999995,0.2310144007205963,linear
,1,1x51x630x5858,11.0,480.0,70.0,106.49499999999995,0.15052799880504608,linear
,1,1x131x896x10693,11.0,480.0,70.0,106.49499999999995,0.7014271855354309,linear
,1,1x211x875x15122,35.0,480.0,71.0,100.49499999999995,1.1927552223205566,linear
,1,1x59x798x11898,35.0,480.0,71.0,100.49499999999995,0.37376001477241516,linear
,1,1x206x584x21033,35.0,480.0,71.0,100.49499999999995,1.1505663871765137,linear
,1,1x27x672x21543,35.0,480.0,71.0,100.49499999999995,0.28405760526657103,linear
,1,1x221x626x25666,35.0,480.0,71.0,100.49499999999995,1.4174143552780152,linear
,1,1x149x848x40632,37.56,494.4,71.64,102.85467999999999,2.1057536602020264,linear
,1,1x224x532x62899,43.0,525.0,73.0,107.86900000000001,1.7721408367156983,linear
,1,1x186x603x61389,43.0,525.0,73.0,107.86900000000001,1.329971194267273,linear
,1,1x59x1422x179,43.0,525.0,73.0,107.86900000000001,0.026419199630618097,linear
,1,1x238x1944x166,43.0,525.0,73.0,107.86900000000001,0.04811520129442215,linear
,1,1x237x1950x20,43.0,525.0,73.0,107.86900000000001,0.025599999353289604,linear
,1,1x257x1333x288,43.0,525.0,73.0,107.86900000000001,0.05427199974656105,linear
,1,1x145x1818x466,7.0,960.0,73.0,122.04199999999996,0.05939200147986412,linear
,1,1x73x1741x415,7.0,960.0,73.0,122.04199999999996,0.04442239999771118,linear
,1,1x159x1394x732,7.0,960.0,73.0,122.04199999999996,0.07147520184516906,linear
,1,1x193x1340x679,7.0,960.0,73.0,122.04199999999996,0.08088959753513336,linear
,1,1x159x1985x711,7.0,960.0,73.0,122.04199999999996,0.09131520092487336,linear
,1,1x191x1235x1280,7.0,960.0,73.0,122.04199999999996,0.11059200018644333,linear
,1,1x213x1134x1836,7.0,960.0,73.0,122.04199999999996,0.13496319949626923,linear
,1,1x20x1612x1992,7.0,960.0,73.0,122.04199999999996,0.06451199948787689,linear
,1,1x122x1641x2548,7.0,960.0,73.0,122.04199999999996,0.15052799880504608,linear
,1,1x1x1747x3034,12.0,960.0,72.0,116.83599999999993,0.05898240134119988,linear
,1,1x9x1756x2325,12.0,960.0,72.0,116.83599999999993,0.06205439865589142,linear
,1,1x70x1154x7846,12.0,960.0,72.0,116.83599999999993,0.23511040210723877,linear
,1,1x98x1610x7021,12.0,960.0,72.0,116.83599999999993,0.313753604888916,linear
,1,1x255x1777x6281,12.0,960.0,72.0,116.83599999999993,0.5388415932655335,linear
,1,1x229x1897x10923,12.0,960.0,72.0,116.83599999999993,0.9373695850372314,linear
,1,1x16x1317x15372,12.0,960.0,72.0,116.83599999999993,0.21503999829292297,linear
,1,1x228x1182x10448,12.0,960.0,72.0,116.83599999999993,0.5775231838226318,linear
,1,1x134x1938x23416,21.0,960.0,73.0,108.79199999999996,1.531494379043579,linear
,1,1x34x1619x26213,21.0,960.0,73.0,108.79199999999996,0.5834751844406127,linear
,1,1x240x1290x19210,21.0,960.0,73.0,108.79199999999996,1.0796736001968383,linear
,1,1x177x1287x44694,21.0,960.0,73.0,108.79199999999996,1.8356224298477173,linear
